account_id,user_id,label,institution,description,currency,current_balance,status,category
acc_0001,user_0001,Main Bank Account,QNB,Primary checking account for daily transactions,EGP,14264.15,active,checking
acc_0002,user_0001,Savings Account,National Bank of Egypt,Savings certificate or deposit account,EGP,29680.8,active,savings
acc_0003,user_0001,Orange Cash,Mobile Wallet,Mobile money wallet,EGP,267.41,active,wallet
acc_0004,user_0002,Main Bank Account,HSBC Egypt,Primary checking account for daily transactions,EGP,9113.78,active,checking
acc_0005,user_0002,Etisalat Cash,Mobile Wallet,Mobile money wallet,EGP,1858.53,active,wallet
acc_0006,user_0002,Client Receivables,,Pending payments from clients,EGP,2889.88,active,receivable
acc_0007,user_0003,Main Bank Account,CIB,Primary checking account for daily transactions,EGP,11375.04,active,checking
acc_0008,user_0003,Savings Account,CIB,Savings certificate or deposit account,EGP,37803.11,active,savings
acc_0009,user_0003,Cash on Hand,,Physical cash,EGP,1639.86,active,cash
acc_0010,user_0003,Client Receivables,,Pending payments from clients,EGP,13439.23,active,receivable
acc_0011,user_0004,Main Bank Account,National Bank of Egypt,Primary checking account for daily transactions,EGP,2824.22,active,checking
acc_0012,user_0004,Client Receivables,,Pending payments from clients,USD,3831.36,active,receivable
acc_0013,user_0005,Main Bank Account,QNB,Primary checking account for daily transactions,EGP,5693.49,active,checking
acc_0014,user_0005,Savings Account,CIB,Savings certificate or deposit account,EGP,18029.75,active,savings
acc_0015,user_0005,Fawry Wallet,Mobile Wallet,Mobile money wallet,EGP,3351.4,active,wallet
acc_0016,user_0006,Main Bank Account,HSBC Egypt,Primary checking account for daily transactions,EGP,19228.61,active,checking
acc_0017,user_0006,Savings Account,Banque Misr,Savings certificate or deposit account,EGP,27372.94,active,savings
acc_0018,user_0007,Main Bank Account,QNB,Primary checking account for daily transactions,EGP,3643.38,active,checking
acc_0019,user_0007,Savings Account,National Bank of Egypt,Savings certificate or deposit account,EGP,23119.89,active,savings
acc_0020,user_0008,Main Bank Account,National Bank of Egypt,Primary checking account for daily transactions,EGP,7695.34,active,checking
acc_0021,user_0008,Savings Account,National Bank of Egypt,Savings certificate or deposit account,EGP,63885.01,active,savings
acc_0022,user_0008,Cash on Hand,,Physical cash,EGP,215.46,active,cash
acc_0023,user_0009,Main Bank Account,CIB,Primary checking account for daily transactions,EGP,6209.19,active,checking
acc_0024,user_0009,Savings Account,Banque Misr,Savings certificate or deposit account,EGP,9712.56,active,savings
acc_0025,user_0009,Orange Cash,Mobile Wallet,Mobile money wallet,EGP,1309.66,active,wallet
acc_0026,user_0009,Investment Account,CI Capital,Stocks or mutual funds,EGP,18407.06,active,investment
acc_0027,user_0010,Main Bank Account,CIB,Primary checking account for daily transactions,EGP,6022.27,active,checking
acc_0028,user_0010,Savings Account,CIB,Savings certificate or deposit account,EGP,15204.18,active,savings
acc_0029,user_0010,Fawry Wallet,Mobile Wallet,Mobile money wallet,EGP,1611.88,active,wallet
acc_0030,user_0011,Main Bank Account,CIB,Primary checking account for daily transactions,EGP,10802.97,active,checking
acc_0031,user_0011,Savings Account,Banque Misr,Savings certificate or deposit account,EGP,28273.91,active,savings
acc_0032,user_0011,Etisalat Cash,Mobile Wallet,Mobile money wallet,EGP,2407.07,active,wallet
acc_0033,user_0012,Main Bank Account,HSBC Egypt,Primary checking account for daily transactions,EGP,12940.88,active,checking
acc_0034,user_0012,Savings Account,National Bank of Egypt,Savings certificate or deposit account,EGP,9371.72,active,savings
acc_0035,user_0012,Fawry Wallet,Mobile Wallet,Mobile money wallet,EGP,3841.49,active,wallet
acc_0036,user_0012,Client Receivables,,Pending payments from clients,USD,14178.41,active,receivable
acc_0037,user_0013,Main Bank Account,QNB,Primary checking account for daily transactions,EGP,9098.77,active,checking
acc_0038,user_0013,Orange Cash,Mobile Wallet,Mobile money wallet,EGP,3362.02,active,wallet
acc_0039,user_0013,Investment Account,EFG Hermes,Stocks or mutual funds,EGP,77947.22,active,investment
acc_0040,user_0013,Client Receivables,,Pending payments from clients,EGP,13016.76,active,receivable
acc_0041,user_0014,Main Bank Account,CIB,Primary checking account for daily transactions,EGP,10423.81,active,checking
acc_0042,user_0014,Savings Account,CIB,Savings certificate or deposit account,EGP,21566.19,active,savings
acc_0043,user_0014,Orange Cash,Mobile Wallet,Mobile money wallet,EGP,1450.34,active,wallet
acc_0044,user_0015,Main Bank Account,National Bank of Egypt,Primary checking account for daily transactions,EGP,2903.91,active,checking
acc_0045,user_0015,Savings Account,CIB,Savings certificate or deposit account,EGP,14304.09,active,savings
acc_0046,user_0015,Vodafone Cash,Mobile Wallet,Mobile money wallet,EGP,1687.45,active,wallet
acc_0047,user_0015,Cash on Hand,,Physical cash,EGP,2934.52,active,cash
acc_0048,user_0015,Client Receivables,,Pending payments from clients,USD,6235.41,active,receivable
acc_0049,user_0016,Main Bank Account,CIB,Primary checking account for daily transactions,EGP,13279.86,active,checking
acc_0050,user_0016,Savings Account,Banque Misr,Savings certificate or deposit account,EGP,58306.92,active,savings
acc_0051,user_0016,Etisalat Cash,Mobile Wallet,Mobile money wallet,EGP,390.58,active,wallet
acc_0052,user_0017,Main Bank Account,HSBC Egypt,Primary checking account for daily transactions,EGP,15541.06,active,checking
acc_0053,user_0017,Savings Account,CIB,Savings certificate or deposit account,EGP,60867.96,active,savings
acc_0054,user_0017,Cash on Hand,,Physical cash,EGP,1622.96,active,cash
acc_0055,user_0018,Main Bank Account,QNB,Primary checking account for daily transactions,EGP,14188.94,active,checking
acc_0056,user_0018,Savings Account,CIB,Savings certificate or deposit account,EGP,52070.25,active,savings
acc_0057,user_0018,Orange Cash,Mobile Wallet,Mobile money wallet,EGP,773.4,active,wallet
acc_0058,user_0019,Main Bank Account,National Bank of Egypt,Primary checking account for daily transactions,EGP,12172.53,active,checking
acc_0059,user_0019,Savings Account,Banque Misr,Savings certificate or deposit account,EGP,50660.12,active,savings
acc_0060,user_0019,Cash on Hand,,Physical cash,EGP,2047.96,active,cash
acc_0061,user_0020,Main Bank Account,QNB,Primary checking account for daily transactions,EGP,6792.19,active,checking
acc_0062,user_0021,Main Bank Account,National Bank of Egypt,Primary checking account for daily transactions,EGP,3774.59,active,checking
acc_0063,user_0021,Savings Account,CIB,Savings certificate or deposit account,EGP,24459.72,active,savings
acc_0064,user_0021,Vodafone Cash,Mobile Wallet,Mobile money wallet,EGP,1170.07,active,wallet
acc_0065,user_0021,Cash on Hand,,Physical cash,EGP,652.56,active,cash
acc_0066,user_0022,Main Bank Account,CIB,Primary checking account for daily transactions,EGP,4779.41,active,checking
acc_0067,user_0022,Cash on Hand,,Physical cash,EGP,1055.02,active,cash
acc_0068,user_0023,Main Bank Account,HSBC Egypt,Primary checking account for daily transactions,EGP,7173.66,active,checking
acc_0069,user_0023,Savings Account,National Bank of Egypt,Savings certificate or deposit account,EGP,38013.39,active,savings
acc_0070,user_0023,Etisalat Cash,Mobile Wallet,Mobile money wallet,EGP,2971.95,active,wallet
acc_0071,user_0024,Main Bank Account,QNB,Primary checking account for daily transactions,EGP,15861.74,active,checking
acc_0072,user_0024,Savings Account,Banque Misr,Savings certificate or deposit account,EGP,26036.95,active,savings
acc_0073,user_0025,Main Bank Account,Banque Misr,Primary checking account for daily transactions,EGP,9050.71,active,checking
acc_0074,user_0025,Savings Account,CIB,Savings certificate or deposit account,EGP,35468.67,active,savings
acc_0075,user_0025,Vodafone Cash,Mobile Wallet,Mobile money wallet,EGP,2160.98,active,wallet
acc_0076,user_0025,Client Receivables,,Pending payments from clients,USD,15966.91,active,receivable
acc_0077,user_0026,Main Bank Account,HSBC Egypt,Primary checking account for daily transactions,EGP,2893.04,active,checking
acc_0078,user_0027,Main Bank Account,CIB,Primary checking account for daily transactions,EGP,5857.06,active,checking
acc_0079,user_0027,Savings Account,National Bank of Egypt,Savings certificate or deposit account,EGP,8077.85,active,savings
acc_0080,user_0027,Investment Account,EFG Hermes,Stocks or mutual funds,EGP,17000.92,active,investment
acc_0081,user_0028,Main Bank Account,CIB,Primary checking account for daily transactions,EGP,13186.71,active,checking
acc_0082,user_0028,Savings Account,CIB,Savings certificate or deposit account,EGP,67246.42,active,savings
acc_0083,user_0028,Orange Cash,Mobile Wallet,Mobile money wallet,EGP,1323.23,active,wallet
acc_0084,user_0028,Client Receivables,,Pending payments from clients,USD,6741.02,active,receivable
acc_0085,user_0029,Main Bank Account,HSBC Egypt,Primary checking account for daily transactions,EGP,11666.19,active,checking
acc_0086,user_0029,Savings Account,Banque Misr,Savings certificate or deposit account,EGP,85789.02,active,savings
acc_0087,user_0030,Main Bank Account,National Bank of Egypt,Primary checking account for daily transactions,EGP,3679.65,active,checking
acc_0088,user_0030,Savings Account,Banque Misr,Savings certificate or deposit account,EGP,57889.51,active,savings
acc_0089,user_0030,Etisalat Cash,Mobile Wallet,Mobile money wallet,EGP,2377.31,active,wallet
acc_0090,user_0031,Main Bank Account,Banque Misr,Primary checking account for daily transactions,EGP,6883.42,active,checking
acc_0091,user_0031,Savings Account,Banque Misr,Savings certificate or deposit account,EGP,32039.17,active,savings
acc_0092,user_0031,Fawry Wallet,Mobile Wallet,Mobile money wallet,EGP,1912.99,active,wallet
acc_0093,user_0031,Investment Account,EFG Hermes,Stocks or mutual funds,EGP,58807.9,active,investment
acc_0094,user_0032,Main Bank Account,QNB,Primary checking account for daily transactions,EGP,9878.35,active,checking
acc_0095,user_0032,Savings Account,National Bank of Egypt,Savings certificate or deposit account,EGP,11578.55,active,savings
acc_0096,user_0032,Orange Cash,Mobile Wallet,Mobile money wallet,EGP,1921.11,active,wallet
acc_0097,user_0033,Main Bank Account,CIB,Primary checking account for daily transactions,EGP,6279.76,active,checking
acc_0098,user_0033,Savings Account,Banque Misr,Savings certificate or deposit account,EGP,3335.12,active,savings
acc_0099,user_0033,Vodafone Cash,Mobile Wallet,Mobile money wallet,EGP,215.82,active,wallet
acc_0100,user_0033,Client Receivables,,Pending payments from clients,USD,1802.27,active,receivable
acc_0101,user_0034,Main Bank Account,Banque Misr,Primary checking account for daily transactions,EGP,5775.39,active,checking
acc_0102,user_0034,Savings Account,National Bank of Egypt,Savings certificate or deposit account,EGP,38046.15,active,savings
acc_0103,user_0034,Etisalat Cash,Mobile Wallet,Mobile money wallet,EGP,1851.35,active,wallet
acc_0104,user_0035,Main Bank Account,CIB,Primary checking account for daily transactions,EGP,3585.71,active,checking
acc_0105,user_0035,Savings Account,National Bank of Egypt,Savings certificate or deposit account,EGP,5946.0,active,savings
acc_0106,user_0035,Etisalat Cash,Mobile Wallet,Mobile money wallet,EGP,193.0,active,wallet
acc_0107,user_0035,Cash on Hand,,Physical cash,EGP,2595.29,active,cash
acc_0108,user_0036,Main Bank Account,Banque Misr,Primary checking account for daily transactions,EGP,20495.91,active,checking
acc_0109,user_0036,Fawry Wallet,Mobile Wallet,Mobile money wallet,EGP,2302.79,active,wallet
acc_0110,user_0037,Main Bank Account,Banque Misr,Primary checking account for daily transactions,EGP,7401.29,active,checking
acc_0111,user_0037,Savings Account,CIB,Savings certificate or deposit account,EGP,36190.88,active,savings
acc_0112,user_0037,Investment Account,CIB Wealth,Stocks or mutual funds,EGP,120852.35,active,investment
acc_0113,user_0038,Main Bank Account,QNB,Primary checking account for daily transactions,EGP,5669.74,active,checking
acc_0114,user_0038,Fawry Wallet,Mobile Wallet,Mobile money wallet,EGP,1065.77,active,wallet
acc_0115,user_0038,Cash on Hand,,Physical cash,EGP,2471.37,active,cash
acc_0116,user_0039,Main Bank Account,National Bank of Egypt,Primary checking account for daily transactions,EGP,15854.0,active,checking
acc_0117,user_0039,Vodafone Cash,Mobile Wallet,Mobile money wallet,EGP,783.02,active,wallet
acc_0118,user_0039,Investment Account,Beltone,Stocks or mutual funds,EGP,71430.35,active,investment
acc_0119,user_0039,Client Receivables,,Pending payments from clients,USD,5675.51,active,receivable
acc_0120,user_0040,Main Bank Account,Banque Misr,Primary checking account for daily transactions,EGP,1364.7,active,checking
acc_0121,user_0040,Etisalat Cash,Mobile Wallet,Mobile money wallet,EGP,1376.94,active,wallet
acc_0122,user_0040,Client Receivables,,Pending payments from clients,EGP,6440.92,active,receivable
acc_0123,user_0041,Main Bank Account,National Bank of Egypt,Primary checking account for daily transactions,EGP,11255.13,active,checking
acc_0124,user_0041,Savings Account,CIB,Savings certificate or deposit account,EGP,59274.2,active,savings
acc_0125,user_0041,Fawry Wallet,Mobile Wallet,Mobile money wallet,EGP,1009.54,active,wallet
acc_0126,user_0042,Main Bank Account,QNB,Primary checking account for daily transactions,EGP,12728.13,active,checking
acc_0127,user_0042,Savings Account,National Bank of Egypt,Savings certificate or deposit account,EGP,23401.38,active,savings
acc_0128,user_0042,Vodafone Cash,Mobile Wallet,Mobile money wallet,EGP,2634.69,active,wallet
acc_0129,user_0043,Main Bank Account,National Bank of Egypt,Primary checking account for daily transactions,EGP,1408.48,active,checking
acc_0130,user_0044,Main Bank Account,QNB,Primary checking account for daily transactions,EGP,16519.17,active,checking
acc_0131,user_0044,Savings Account,National Bank of Egypt,Savings certificate or deposit account,EGP,12565.07,active,savings
acc_0132,user_0044,Etisalat Cash,Mobile Wallet,Mobile money wallet,EGP,3589.9,active,wallet
acc_0133,user_0045,Main Bank Account,HSBC Egypt,Primary checking account for daily transactions,EGP,22614.15,active,checking
acc_0134,user_0045,Cash on Hand,,Physical cash,EGP,2263.7,active,cash
acc_0135,user_0046,Main Bank Account,QNB,Primary checking account for daily transactions,EGP,15184.41,active,checking
acc_0136,user_0047,Main Bank Account,National Bank of Egypt,Primary checking account for daily transactions,EGP,11393.73,active,checking
acc_0137,user_0047,Savings Account,National Bank of Egypt,Savings certificate or deposit account,EGP,23510.42,active,savings
acc_0138,user_0047,Etisalat Cash,Mobile Wallet,Mobile money wallet,EGP,1073.99,active,wallet
acc_0139,user_0048,Main Bank Account,National Bank of Egypt,Primary checking account for daily transactions,EGP,12041.17,active,checking
acc_0140,user_0048,Savings Account,CIB,Savings certificate or deposit account,EGP,30907.96,active,savings
acc_0141,user_0048,Orange Cash,Mobile Wallet,Mobile money wallet,EGP,1651.72,active,wallet
