asset_id,user_id,label,description,estimated_value,category,status
asset_0001,user_0001,MacBook Pro,Work laptop for freelancing,28360.36,property,active
asset_0002,user_0001,iPhone 15 Pro,Personal smartphone,33165.21,property,active
asset_0003,user_0002,Lenovo ThinkPad,Work laptop for freelancing,53452.61,property,active
asset_0004,user_0002,Old Laptop,Previously used work laptop — sold,7099.73,property,disposed_retired
asset_0005,user_0003,Dell XPS,Work laptop for freelancing,47718.68,property,active
asset_0006,user_0003,Old Laptop,Previously used work laptop — sold,4435.19,property,disposed_retired
asset_0007,user_0008,iPhone 14,Personal smartphone,14155.97,property,active
asset_0008,user_0009,Google Pixel 8,Personal smartphone,9692.46,property,active
asset_0009,user_0011,Lenovo ThinkPad,Work laptop for freelancing,47860.52,property,active
asset_0010,user_0012,Dell XPS,Work laptop for freelancing,25945.07,property,active
asset_0011,user_0013,ASUS ROG,Work laptop for freelancing,42747.29,property,active
asset_0012,user_0013,Samsung Galaxy S24,Personal smartphone,36594.44,property,active
asset_0013,user_0014,EGX30 ETF,Stock market investment,81017.7,stocks,active
asset_0014,user_0017,MacBook Pro,Work laptop for freelancing,43596.96,property,active
asset_0015,user_0018,MacBook Pro,Work laptop for freelancing,49744.93,property,active
asset_0016,user_0019,Old Laptop,Previously used work laptop — sold,7604.24,property,disposed_retired
asset_0017,user_0021,HP Spectre,Work laptop for freelancing,24901.6,property,active
asset_0018,user_0023,iPhone 15 Pro,Personal smartphone,10680.53,property,active
asset_0019,user_0025,Samsung Galaxy S24,Personal smartphone,35718.98,property,active
asset_0020,user_0026,Samsung Galaxy S24,Personal smartphone,30871.76,property,active
asset_0021,user_0027,HP Spectre,Work laptop for freelancing,17896.65,property,active
asset_0022,user_0029,Dell XPS,Work laptop for freelancing,47023.47,property,active
asset_0023,user_0029,iPhone 14,Personal smartphone,32804.26,property,active
asset_0024,user_0031,HP Spectre,Work laptop for freelancing,49838.76,property,active
asset_0025,user_0032,Google Pixel 8,Personal smartphone,28461.05,property,active
asset_0026,user_0033,Google Pixel 8,Personal smartphone,35068.81,property,active
asset_0027,user_0033,CIB Shares,Stock market investment,20212.73,stocks,active
asset_0028,user_0035,Old Laptop,Previously used work laptop — sold,3808.36,property,disposed_retired
asset_0029,user_0036,Lenovo ThinkPad,Work laptop for freelancing,24138.19,property,active
asset_0030,user_0037,Lenovo ThinkPad,Work laptop for freelancing,23822.44,property,active
asset_0031,user_0038,ASUS ROG,Work laptop for freelancing,44086.76,property,active
asset_0032,user_0039,HP Spectre,Work laptop for freelancing,35193.8,property,active
asset_0033,user_0040,Dell XPS,Work laptop for freelancing,34466.76,property,active
asset_0034,user_0041,Lenovo ThinkPad,Work laptop for freelancing,26354.18,property,active
asset_0035,user_0042,Samsung Galaxy S24,Personal smartphone,34485.52,property,active
asset_0036,user_0043,Dell XPS,Work laptop for freelancing,22239.08,property,active
asset_0037,user_0045,iPhone 14,Personal smartphone,19549.48,property,active
asset_0038,user_0046,MacBook Pro,Work laptop for freelancing,45938.93,property,active
asset_0039,user_0046,iPhone 15 Pro,Personal smartphone,16770.03,property,active
asset_0040,user_0048,ASUS ROG,Work laptop for freelancing,24948.57,property,active
asset_0041,user_0049,MacBook Pro,Work laptop for freelancing,39221.53,property,active
asset_0042,user_0051,Samsung Galaxy S24,Personal smartphone,10112.21,property,active
asset_0043,user_0052,Lenovo ThinkPad,Work laptop for freelancing,33087.96,property,active
asset_0044,user_0053,Dell XPS,Work laptop for freelancing,30895.16,property,active
asset_0045,user_0053,Old Laptop,Previously used work laptop — sold,4615.65,property,disposed_retired
asset_0046,user_0055,HP Spectre,Work laptop for freelancing,20029.66,property,active
asset_0047,user_0055,Google Pixel 8,Personal smartphone,34073.19,property,active
asset_0048,user_0056,Google Pixel 8,Personal smartphone,13778.06,property,active
asset_0049,user_0057,MacBook Pro,Work laptop for freelancing,48524.61,property,active
asset_0050,user_0058,Old Laptop,Previously used work laptop — sold,7654.74,property,disposed_retired
asset_0051,user_0060,ASUS ROG,Work laptop for freelancing,38087.41,property,active
asset_0052,user_0061,MacBook Pro,Work laptop for freelancing,31276.32,property,active
asset_0053,user_0065,MacBook Pro,Work laptop for freelancing,29658.46,property,active
asset_0054,user_0066,iPhone 15 Pro,Personal smartphone,24443.52,property,active
asset_0055,user_0066,Vodafone Egypt Shares,Stock market investment,56093.81,stocks,active
