user_id,goal_name,target_amount,saved_amount,monthly_contribution,deadline
user_0001,Travel,8975.13,520.21,758.99,2026-06-17
user_0002,Travel,6419.06,216.83,277.53,2026-03-03
user_0002,Emergency Fund,18291.83,7056.09,462.54,2025-09-18
user_0003,Apartment Deposit,139979.49,47875.9,1299.66,2026-03-01
user_0004,New Laptop,5815.72,1296.94,413.41,2026-02-09
user_0005,New Laptop,15775.79,850.04,915.86,2026-02-19
user_0006,New Laptop,8951.89,2740.67,715.04,2025-05-07
user_0006,Travel,9153.41,1572.67,642.89,2026-03-01
user_0007,Apartment Deposit,217328.43,64651.84,1174.0,2025-06-30
user_0008,Car,63982.47,31852.53,882.55,2026-06-03
user_0009,Travel,8050.11,84.82,446.81,2026-02-05
user_0011,Apartment Deposit,182383.98,4013.59,754.34,2026-05-23
user_0011,New Laptop,7381.06,2074.28,513.73,2025-07-16
user_0012,Wedding,122924.58,424.73,1104.28,2025-08-07
user_0012,Emergency Fund,31996.94,6325.14,695.29,2025-11-06
user_0013,Travel,11484.3,3782.25,603.98,2026-05-13
user_0015,Car,20326.09,4704.27,485.74,2026-04-18
user_0015,Apartment Deposit,82531.87,35174.93,214.88,2025-12-25
user_0016,New Laptop,7722.71,126.81,832.16,2025-09-16
user_0017,Apartment Deposit,181125.13,30519.7,861.82,2025-10-03
user_0018,Car,50505.28,10411.21,903.8,2025-07-21
user_0019,Emergency Fund,25583.39,3430.88,525.5,2025-08-26
user_0020,Emergency Fund,37144.28,8792.6,818.95,2026-01-08
user_0022,Car,48194.19,23317.18,560.54,2025-11-06
user_0023,Wedding,69700.23,18016.52,1351.99,2026-05-09
user_0025,Car,48109.11,15781.95,1184.2,2025-08-03
user_0025,Travel,22548.98,7164.17,1033.53,2026-06-17
user_0027,Travel,5698.79,2452.09,276.38,2026-02-05
user_0028,Car,87182.79,20292.76,1247.52,2025-04-17
user_0028,Travel,8734.9,2844.66,992.0,2025-08-29
user_0029,New Laptop,9798.09,2075.53,1157.27,2025-11-04
user_0030,Emergency Fund,38582.01,7779.64,641.64,2025-11-19
user_0031,New Laptop,3467.35,1545.57,244.74,2026-02-24
user_0032,Car,60905.09,2349.84,352.58,2026-06-15
user_0034,Apartment Deposit,158432.38,78752.17,835.59,2025-09-15
user_0035,Wedding,60863.26,13780.09,415.1,2025-06-09
user_0035,New Laptop,2892.03,949.83,512.01,2025-04-06
user_0036,Travel,25224.17,293.78,1419.23,2026-02-19
user_0036,Emergency Fund,46678.86,17006.91,1040.7,2025-11-10
user_0037,Emergency Fund,32514.84,5042.47,1220.96,2026-03-02
user_0037,Wedding,113716.02,52947.3,1100.11,2025-11-19
user_0038,New Laptop,5676.96,2020.77,188.71,2025-12-30
user_0040,Wedding,57317.76,16592.95,478.74,2026-01-31
user_0041,Apartment Deposit,211009.98,8975.96,1015.41,2025-07-21
user_0041,Emergency Fund,37919.93,17100.24,442.75,2025-05-29
user_0042,Apartment Deposit,235964.88,23406.11,992.57,2025-12-19
user_0043,Travel,8515.31,569.09,256.77,2026-05-10
user_0045,Travel,19814.35,7891.8,1336.54,2025-05-10
user_0045,New Laptop,6270.96,1018.88,962.61,2026-06-12
user_0046,Wedding,104507.28,19100.66,586.19,2025-08-14
user_0046,New Laptop,12597.36,1990.15,773.94,2025-06-03
user_0047,Wedding,64451.81,19335.73,675.58,2025-05-27
user_0047,Emergency Fund,28778.95,13182.59,503.81,2025-08-14
user_0048,Car,51940.5,4642.71,406.94,2025-09-09
user_0048,Emergency Fund,23994.7,8091.11,855.3,2026-05-31
user_0049,Travel,10668.78,946.78,547.49,2026-02-26
user_0049,Wedding,43989.36,11059.76,920.74,2026-06-22
user_0050,Wedding,114995.78,43411.42,1545.84,2025-10-02
user_0051,Emergency Fund,24261.62,5853.95,746.66,2026-01-26
user_0052,New Laptop,14490.84,5693.49,660.7,2026-04-26
user_0053,Wedding,92856.35,2666.39,1166.38,2026-05-31
user_0056,Emergency Fund,22501.64,7237.14,725.95,2026-01-19
user_0058,Car,60257.95,4656.15,827.78,2026-02-01
user_0058,Wedding,124536.4,29395.38,761.54,2026-03-20
user_0059,New Laptop,4906.01,1477.6,448.8,2025-07-16
